open_time,open,high,low,close,volume
2021-03-30 09:45:00,57315.89,57497.53,57280.0,57451.26,313.9127102865753
2021-03-30 10:00:00,57451.27,57451.27,57200.24,57282.77,285.1536071606019
2021-03-30 10:15:00,57282.77,57389.91,57200.0,57354.31,131.26812949327564
2021-03-30 10:30:00,57354.31,57456.17,57204.43,57446.79,128.70432535832273
2021-03-30 10:45:00,57446.79,57456.16,57250.5,57335.0,114.96615205019121
2021-03-30 11:00:00,57333.74,57391.97,57232.97,57311.91,96.04980547598704
2021-03-30 11:15:00,57311.91,57346.86,57206.68,57247.08,142.64775682224987
2021-03-30 11:30:00,57247.09,57300.0,57143.64,57284.06,185.7415485391334
2021-03-30 11:45:00,57284.06,57300.0,57121.57,57179.78,259.1513783480552
2021-03-30 12:00:00,57179.78,57269.18,57077.41,57185.33,241.06311202685828
2021-03-30 12:15:00,57185.33,57450.7,57109.11,57450.32,192.75461973347328
2021-03-30 12:30:00,57450.32,57646.37,57353.3,57595.33,192.8172927153275
2021-03-30 12:45:00,57595.34,57833.1,57539.81,57569.34,234.37201071342764
2021-03-30 13:00:00,57568.77,57627.4,57420.32,57431.21,207.65379623418616
2021-03-30 13:15:00,57428.24,57510.67,57388.12,57469.32,161.49358990049097
2021-03-30 13:30:00,57469.32,57682.64,57407.75,57605.99,126.12811959408721
2021-03-30 13:45:00,57605.98,57698.33,57458.65,57664.08,143.4182091393582
2021-03-30 14:00:00,57661.01,57671.1,57503.65,57631.49,140.61211540799766
2021-03-30 14:15:00,57631.5,57846.37,57587.73,57777.08,240.63268185176122
2021-03-30 14:30:00,57777.08,57805.25,57679.87,57805.25,180.9571182233467
2021-03-30 14:45:00,57807.03,58258.0,57800.04,58047.31,492.83230181135195
2021-03-30 15:00:00,58047.32,58113.0,57938.15,58008.69,219.39250490612227
2021-03-30 15:15:00,58008.69,58266.0,57960.2,58124.34,321.5062056128253
2021-03-30 15:30:00,58124.34,58215.75,58053.8,58156.34,201.24563285186417
2021-03-30 15:45:00,58156.34,58159.89,57992.36,58107.54,156.92272930263562
2021-03-30 16:00:00,58111.62,58194.82,58001.45,58072.68,152.06525124261648
2021-03-30 16:15:00,58072.69,58076.96,57721.52,57896.11,383.61409511732865
2021-03-30 16:30:00,57895.26,57924.84,57786.8,57900.0,196.004004827605
2021-03-30 16:45:00,57900.0,58000.0,57832.92,57933.88,178.69894070646393
2021-03-30 17:00:00,57933.87,58095.93,57837.92,57990.44,91.79465581705617
2021-03-30 17:15:00,57990.44,58110.03,57862.87,58049.35,139.72831092967368
2021-03-30 17:30:00,58049.35,58744.52,57988.62,58732.98,1539.218747533013
2021-03-30 17:45:00,58732.98,58855.93,58631.61,58833.94,549.3594853625447
2021-03-30 18:00:00,58829.94,59093.83,58825.76,59020.93,819.7400389620437
